title,cuisine,rating,reviewsCount,street,url,location/lat,location/lng
Chili’s,American restaurant,4.1,33,93 Kobri Al Merghani,https://www.google.com/maps/search/?api=1&query=Chili%E2%80%99s&query_place_id=ChIJMfhmscU_WBQR5r2nQpgX8XE,30.0852446,31.3334494
Enchilada Restaurant,Western restaurant,4.8,4,"١٠ شارع محمد المهدى تقاطع على بن رضوان, ارض",https://www.google.com/maps/search/?api=1&query=Enchilada%20Restaurant&query_place_id=ChIJj4KxIV4_WBQRerTar5HTrxI,30.0825074,31.337507
SACHI Heliopolis,Fine dining restaurant,4.6,1560,"3, Cleopatra St،",https://www.google.com/maps/search/?api=1&query=SACHI%20Heliopolis&query_place_id=ChIJt_ZwqCY-WBQRrcGsm8uMaPA,30.0878716,31.3247099
Misr Studio Restaurant,Meat dish restaurant,3.8,257,78 El-Thawra St,https://www.google.com/maps/search/?api=1&query=Misr%20Studio%20Restaurant&query_place_id=ChIJBYqiFhw-WBQRCZgvEmPSg8M,30.0853877,31.338046
Lazokya Restaurant & Cafe,Restaurant,3,4,Salah Salem St,https://www.google.com/maps/search/?api=1&query=Lazokya%20Restaurant%20%26%20Cafe&query_place_id=ChIJ7VQ9xtA_WBQR_2AkaGfcyIs,30.0831985,31.3210131
Voyage Lounge,Restaurant,4.1,289,"Beside Air Force House, Meraki Complex, Salah Salem St",https://www.google.com/maps/search/?api=1&query=Voyage%20Lounge&query_place_id=ChIJBdDlbe4_WBQRyLCJrEYq7Ss,30.0827128,31.3217825
Farida,Restaurant,4.1,305,17 Al Mahrouki,https://www.google.com/maps/search/?api=1&query=Farida&query_place_id=ChIJm3tABtk_WBQRZsc9RJHB618,30.0824097,31.3219206
Salsa Mista,Italian restaurant,4.2,253,Abdelwahab,https://www.google.com/maps/search/?api=1&query=Salsa%20Mista&query_place_id=ChIJXeUWvQQ_WBQRZmdU5taAuQ4,30.0827564,31.3217296
Lia cocktails and cuisine,Restaurant,4,44,11 hassan sadek,https://www.google.com/maps/search/?api=1&query=Lia%20cocktails%20and%20cuisine&query_place_id=ChIJnX0o4aE_WBQR8z_j2tus5Pk,30.0854187,31.3287849
Lili Restaurant & Café,Restaurant,4.3,36,Metaki complex,https://www.google.com/maps/search/?api=1&query=Lili%20Restaurant%20%26%20Caf%C3%A9&query_place_id=ChIJ0XVgKhg_WBQR4WegNSAnDuo,30.0827972,31.3215561
عيوش,Western restaurant,4.2,19,38MC+2JW Phantom meraki mall,https://www.google.com/maps/search/?api=1&query=%D8%B9%D9%8A%D9%88%D8%B4&query_place_id=ChIJNamqjhc_WBQRazPzvJFN08g,30.0826118,31.3215781
Tibra Lounge,Restaurant,4,19,"38MC+6H8, Abdel Wahba el Qadi street",https://www.google.com/maps/search/?api=1&query=Tibra%20Lounge&query_place_id=ChIJMzvZBlQ_WBQREN6OUhDytq8,30.0830283,31.3214471
The Terrace Restaurant,Restaurant,3.3,6,8 ش معهد الصحارى,https://www.google.com/maps/search/?api=1&query=The%20Terrace%20Restaurant&query_place_id=ChIJnSZsUx8-WBQRtYHVBDbh4PU,30.0861117,31.3316835
babay restaurant,Fast food restaurant,5,2,Shams Al Din Al Zahabi,https://www.google.com/maps/search/?api=1&query=babay%20restaurant&query_place_id=ChIJ5fHiOB8_WBQRtRR2d8ZXitc,30.0827364,31.3316331
Indian Masala House,Indian restaurant,4.6,121,38HG+G29,https://www.google.com/maps/search/?api=1&query=Indian%20Masala%20House&query_place_id=ChIJdSogxUs_WBQR1pIvMXAM91c,30.078813,31.325063
CHO restaurant & lounge,Restaurant,4.2,16,10 hassan sadek,https://www.google.com/maps/search/?api=1&query=CHO%20restaurant%20%26%20lounge&query_place_id=ChIJ831lPYA_WBQRJHoW03Oi3lM,30.0855833,31.3287692
